author_name,first_publish_year,title
['Neil Gaiman'],2008,The Graveyard Book
['Book PRO'],2022,Summary the Psychology of Money
['Anna Todd'],2014,"After (After Series, Book 1)"
['Tahereh Mafi'],2011,Shatter Me
['Book Of Thrones'],2017,Game of Thrones
['Joe Abercrombie'],2001,The Blade Itself
"['John Lewis', 'Andrew Aydin', 'Nate Powell']",2013,March. Book One
['Js Sketch Book'],2019,Sketch Book for Kids
['Deborah Harkness'],2014,The Book of Life
['Jennifer Frantz'],2006,Charlotte's Web
['sara coloring'],2021,Demon Slayer Coloring Book
['Emily Henry'],2022,Book Lovers
['Kazu Kibuishi'],2008,Amulet
['R. F. Kuang'],2023,Yellowface
['Patrick King'],2020,Read People Like a Book
['B. J. Novak'],2001,The Book with No Pictures
